x.lo.l,y.lo.l,x.lo.r,y.lo.r,x.med.l,y.med.l,x.med.r,y.med.r,x.hi.l,y.hi.l,x.hi.r,y.hi.r
-1.87364,2.07043,1.84740,-2.05587,-1.79907,2.07035,1.77461,-2.05596,-1.76504,2.07019,1.69811,-2.05612
-1.87364,2.03359,1.84740,-2.01903,-1.83591,2.03350,1.77461,-2.01912,-1.76504,2.03335,1.69811,-2.01927
-1.87364,1.99675,1.84740,-1.98219,-1.83591,1.99666,1.77461,-1.98227,-1.76504,1.99650,1.69811,-1.98243
-1.87364,1.95991,1.84740,-1.94535,-1.79907,1.95982,1.77461,-1.94543,-1.76504,1.95966,1.69811,-1.94559
-1.87364,1.92306,1.84740,-1.90850,-1.79907,1.92298,1.77461,-1.90859,-1.76504,1.92282,1.69811,-1.90875
-1.87364,1.88622,1.84740,-1.87166,-1.79907,1.88614,1.77461,-1.87175,-1.76504,1.88598,1.69811,-1.87191
-1.87364,1.84938,1.84740,-1.83482,-1.79907,1.84929,1.77461,-1.83491,-1.76504,1.84914,1.69811,-1.83506
-1.87364,1.81254,1.84740,-1.79798,-1.79907,1.81245,1.77461,-1.79806,-1.76504,1.81229,1.69811,-1.79822
-1.87364,1.77570,1.84740,-1.76114,-1.79907,1.77561,1.77461,-1.76122,-1.76504,1.77545,1.69811,-1.76138
-1.87364,1.73885,1.84740,-1.72429,-1.79907,1.73877,1.77461,-1.72438,-1.72819,1.73861,1.73495,-1.72454
-1.87364,1.70201,1.84740,-1.68745,-1.79907,1.70193,1.77461,-1.68754,-1.72819,1.70177,1.73495,-1.68770
-1.87364,1.66517,1.84740,-1.65061,-1.79907,1.66508,1.77461,-1.65070,-1.72819,1.66493,1.73495,-1.65085
-1.87364,1.62833,1.84740,-1.61377,-1.79907,1.62824,1.77461,-1.61385,-1.72819,1.62808,1.73495,-1.61401
-1.87364,1.59149,1.84740,-1.57693,-1.79907,1.59140,1.77461,-1.57701,-1.72819,1.59124,1.73495,-1.57717
-1.87364,1.55464,1.84740,-1.54008,-1.79907,1.55456,1.77461,-1.54017,-1.72819,1.55440,1.73495,-1.54033
-1.87364,1.51780,1.84740,-1.50324,-1.79907,1.51772,1.77461,-1.50333,-1.72819,1.51756,1.73495,-1.50349
-1.87364,1.48096,1.84740,-1.46640,-1.79907,1.48087,1.77461,-1.46649,-1.72819,1.48072,1.73495,-1.46664
-1.87364,1.44412,1.84740,-1.42956,-1.79907,1.44403,1.77461,-1.42964,-1.76504,1.44387,1.73495,-1.42980
-1.87364,1.40728,1.84740,-1.39272,-1.79907,1.40719,1.77461,-1.39280,-1.76504,1.40703,1.73495,-1.39296
-1.87364,1.37043,1.84740,-1.35587,-1.79907,1.37035,1.77461,-1.35596,-1.76504,1.37019,1.73495,-1.35612
-1.83680,1.33359,1.84740,-1.31903,-1.79907,1.33351,1.81145,-1.31912,-1.72819,1.33335,1.73495,-1.31928
-1.83680,1.29675,1.88424,-1.28219,-1.79907,1.29666,1.81145,-1.28228,-1.72819,1.29651,1.73495,-1.28243
