[B(8.40 wgt%),Co(91.60 wgt%),Σ=100.00,8.2 g/cc]	Pure cobalt	Cobalt	Boron	40	30	Co K-L3	0.9078	0.909566
[B(15.50 wgt%),Co(84.50 wgt%),Σ=100.00,7.8 g/cc]	Pure cobalt	Cobalt	Boron	40	10	Co K-L3	0.7823	0.80221
[B(15.50 wgt%),Co(84.50 wgt%),Σ=100.00,7.8 g/cc]	Pure cobalt	Cobalt	Boron	40	12	Co K-L3	0.7939	0.806456
[B(15.50 wgt%),Co(84.50 wgt%),Σ=100.00,7.8 g/cc]	Pure cobalt	Cobalt	Boron	40	15	Co K-L3	0.8058	0.814734
[B(15.50 wgt%),Co(84.50 wgt%),Σ=100.00,7.8 g/cc]	Pure cobalt	Cobalt	Boron	40	20	Co K-L3	0.818	0.823641
[B(15.50 wgt%),Co(84.50 wgt%),Σ=100.00,7.8 g/cc]	Pure cobalt	Cobalt	Boron	40	25	Co K-L3	0.8244	0.826164
[B(15.50 wgt%),Co(84.50 wgt%),Σ=100.00,7.8 g/cc]	Pure cobalt	Cobalt	Boron	40	30	Co K-L3	0.8278	0.830026
[B(5.78 wgt%),Ni(94.22 wgt%),Σ=100.00,8.5 g/cc]	Pure nickel	Nickel	Boron	40	10	Ni K-L3	0.9238	0.924855
[B(5.78 wgt%),Ni(94.22 wgt%),Σ=100.00,8.5 g/cc]	Pure nickel	Nickel	Boron	40	12	Ni K-L3	0.9262	0.923372
[B(5.78 wgt%),Ni(94.22 wgt%),Σ=100.00,8.5 g/cc]	Pure nickel	Nickel	Boron	40	15	Ni K-L3	0.9303	0.93137
[B(5.78 wgt%),Ni(94.22 wgt%),Σ=100.00,8.5 g/cc]	Pure nickel	Nickel	Boron	40	20	Ni K-L3	0.9358	0.931231
[B(5.78 wgt%),Ni(94.22 wgt%),Σ=100.00,8.5 g/cc]	Pure nickel	Nickel	Boron	40	25	Ni K-L3	0.938	0.933517
[B(5.78 wgt%),Ni(94.22 wgt%),Σ=100.00,8.5 g/cc]	Pure nickel	Nickel	Boron	40	30	Ni K-L3	0.9382	0.935347
[B(8.43 wgt%),Ni(91.57 wgt%),Σ=100.00,8.3 g/cc]	Pure nickel	Nickel	Boron	40	10	Ni K-L3	0.8858	0.890368
[B(8.43 wgt%),Ni(91.57 wgt%),Σ=100.00,8.3 g/cc]	Pure nickel	Nickel	Boron	40	12	Ni K-L3	0.8899	0.896316
[B(8.43 wgt%),Ni(91.57 wgt%),Σ=100.00,8.3 g/cc]	Pure nickel	Nickel	Boron	40	15	Ni K-L3	0.895	0.899733
[B(8.43 wgt%),Ni(91.57 wgt%),Σ=100.00,8.3 g/cc]	Pure nickel	Nickel	Boron	40	20	Ni K-L3	0.9005	0.905601
[B(8.43 wgt%),Ni(91.57 wgt%),Σ=100.00,8.3 g/cc]	Pure nickel	Nickel	Boron	40	25	Ni K-L3	0.904	0.90347
[B(8.43 wgt%),Ni(91.57 wgt%),Σ=100.00,8.3 g/cc]	Pure nickel	Nickel	Boron	40	30	Ni K-L3	0.906	0.907814
[B(14.40 wgt%),Ni(85.60 wgt%),Σ=100.00,8 g/cc]	Pure nickel	Nickel	Boron	40	10	Ni K-L3	0.8083	0.815061
[B(14.40 wgt%),Ni(85.60 wgt%),Σ=100.00,8 g/cc]	Pure nickel	Nickel	Boron	40	12	Ni K-L3	0.818	0.823631
[B(14.40 wgt%),Ni(85.60 wgt%),Σ=100.00,8 g/cc]	Pure nickel	Nickel	Boron	40	15	Ni K-L3	0.8283	0.832916
[B(14.40 wgt%),Ni(85.60 wgt%),Σ=100.00,8 g/cc]	Pure nickel	Nickel	Boron	40	20	Ni K-L3	0.8388	0.839415
[B(14.40 wgt%),Ni(85.60 wgt%),Σ=100.00,8 g/cc]	Pure nickel	Nickel	Boron	40	25	Ni K-L3	0.8438	0.842548
[B(14.40 wgt%),Ni(85.60 wgt%),Σ=100.00,8 g/cc]	Pure nickel	Nickel	Boron	40	30	Ni K-L3	0.845	0.851035
[B(17.89 wgt%),Zr(82.11 wgt%),Σ=100.00,5.7 g/cc]	Pure zirconium	Zirconium	Boron	40	4	Zr L3-M5	0.754	0.744053
[B(17.89 wgt%),Zr(82.11 wgt%),Σ=100.00,5.7 g/cc]	Pure zirconium	Zirconium	Boron	40	6	Zr L3-M5	0.7662	0.76098
[B(17.89 wgt%),Zr(82.11 wgt%),Σ=100.00,5.7 g/cc]	Pure zirconium	Zirconium	Boron	40	8	Zr L3-M5	0.777	0.781377
[B(17.89 wgt%),Zr(82.11 wgt%),Σ=100.00,5.7 g/cc]	Pure zirconium	Zirconium	Boron	40	10	Zr L3-M5	0.7855	0.784551
[B(17.89 wgt%),Zr(82.11 wgt%),Σ=100.00,5.7 g/cc]	Pure zirconium	Zirconium	Boron	40	12	Zr L3-M5	0.793	0.790599
[B(17.89 wgt%),Zr(82.11 wgt%),Σ=100.00,5.7 g/cc]	Pure zirconium	Zirconium	Boron	40	15	Zr L3-M5	0.8024	0.797431
